ID	FluxPsiDiff	NumIsoform	Type	FluxPsiG1	FluxPsiG2
ASM#231	0.03637847929566665	11	NA	0.4546017843063333	0.43274023857466665
ASM#232	NA	3	NA	NA	NA
ASM#233	0.006274965235666619	7	NA	0.985026992335	0.9787520270993334
ASM#234	0.03904069570799999	2	NA	0.8423699542236668	0.8814106499316666
ASM#235	0.017853586711666702	3	NA	0.6187920740263334	0.6260406577713333
ASM#236	0.00018328421833335717	2	ASS	0.533923261733	0.5337399775146666
ASM#237	0.05878719630563333	9	NA	0.9327105370933334	0.8820275457213334
ASM#238	0.13240844427866671	109	NA	0.42738791423000005	0.29497946995133334
ASM#239	NA	15	NA	NA	NA
ASM#240	NA	3	NA	NA	NA
ASM#241	0.044694503606700006	2	SE	0.9317428479323334	0.8870483443256667
ASM#242	NA	17	NA	NA	NA
ASM#243	0.008256507568666804	3	NA	0.8172896657149998	0.8255461732836666
ASM#244	0.04365503323866668	10	NA	0.469135802469	0.49314458689466667
ASM#245	0.05365622032299999	3	NA	0.5944919278256667	0.6178774928776667
ASM#246	0.008766638192930006	13	NA	0.9588068181816666	0.9643372104203335
ASM#247	0.01756087174099996	3	NA	0.5498504453673333	0.5674113171083333
ASM#248	0.008208823745333382	2	SE	0.9492441097	0.9410352859546666
ASM#249	0.03627721400550001	4	NA	0.9620982320676666	0.9258210180626668
ASM#250	0.025870954442666738	2	SE	0.9924242424243334	0.9665532879816666
ASM#251	NA	3	NA	NA	NA
ASM#252	0.19113247863233335	13	NA	0.4555555555556667	0.5606837606839999
ASM#253	0.030933132225333226	4	NA	0.8617283961163332	0.830795263891
ASM#254	NA	8	NA	NA	NA
ASM#255	0.09850950658633334	3	NA	0.36376972944133334	0.3959347699473333
ASM#256	0.04341578758399989	5	NA	0.6210764360019999	0.577660648418
ASM#257	0.10830404374233332	176	NA	0.566028650536	0.580703283929
ASM#258	0.1469553193973333	3	NA	0.6537347992670001	0.8006901186643334
ASM#259	0.09633810149166666	49	NA	0.4654396412026667	0.4563931161263333
ASM#260	NA	3	NA	NA	NA
ASM#261	0.13239750445633336	2	NA	0.951351752822	0.8189542483660001
ASM#262	0.10894856785466668	3	NA	0.7732773963896666	0.8578647048333332
ASM#263	NA	2	NA	NA	NA
ASM#264	NA	2	NA	NA	NA
ASM#265	0.1166434889099	6	NA	0.354991384763	0.39939224939199997
ASM#266	0.020501143046666725	21	NA	0.8835073351670001	0.8630061921203334
ASM#267	NA	2	SE	NA	NA
ASM#268	NA	2	NA	NA	NA
ASM#269	0.041054650542333315	52	NA	0.6434459096173334	0.6583893020413334
ASM#270	0.2695767195766667	13	NA	0.6930555555556667	0.4305555555553333
ASM#271	NA	4	NA	NA	NA
ASM#272	0.04132947407799992	7	NA	0.653855457949	0.6951849320269999
ASM#273	0.006733644878666567	15	NA	0.9347778057573333	0.9280441608786667
ASM#274	0.028985507246366667	7	NA	0.9841269841270001	0.9710144927536666
ASM#275	0.0	2	NA	1.0	1.0
ASM#276	0.18803695499666662	246	NA	0.8119630450033334	1.0
ASM#277	NA	5	NA	NA	NA
ASM#278	NA	2	SE	NA	NA
ASM#279	NA	2	ASS	NA	NA
ASM#280	0.0749759499760001	2	NA	0.8287037037036665	0.9036796536796666
