ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsiDiff	turbo_p_value	majiq_p_value	leafcutter_p_value	jum_p_value
ASM2646	4	14	5764	7203	0.488038567	0.010617506	NA	NA	NA	NA
ASM2647	2	4	1957	3477	0.747708508	0.087987713	0.499	NA	0.614	0.0375
ASM2648	5	7	2487	2216	0.008299742	0.050562887	NA	NA	0.0626	0.073
ASM2649	2	4	116	5	0.061698493	0.381313131	NA	NA	NA	NA
ASM2650	5	18	7149	8041	0.081600008	0.666666667	0.203	NA	0.0775	0.107
ASM2651	4	5	1724	1712	0.488265502	0.045698097	NA	NA	NA	0.0752
ASM2652	8	26	10287	18634	0.978609505	0	0.318	NA	NA	0.0541
ASM2653	4	44	7069	9158	0.714018598	0.466666667	5.56E-05	NA	0.505	0.0437
ASM2654	2	3	905	654	0.089224829	0.030345472	NA	NA	NA	NA
ASM2655	3	4	446	445	0.359821374	0.079258116	0.057	NA	NA	0.0858
ASM2656	7	16	2565	2532	0.457505689	0.136318003	0.119	NA	NA	0.199
ASM2657	2	4	28	43	0.162152553	0	NA	NA	NA	NA
ASM2658	8	27	740	158	0.137094604	0.15	4.27E-12	NA	NA	NA
ASM2659	5	12	2916	3601	NA	0.011904762	NA	NA	NA	NA
ASM2660	6	11	2527	677	0.107853569	0.081534525	0.0302	NA	NA	0.059
ASM2661	2	4	30	1	0.265620672	0.144444444	NA	NA	NA	NA
ASM2662	4	28	4039	3975	0.469457828	0.011040763	0.482	NA	0.286	0.0992
ASM2663	9	14	1439	2186	0.024500448	0.087424096	0.000198	NA	0.936	0.064
ASM2664	10	21	1221	1698	0.287900877	0.019440021	0.0122	0.0553	0.026	0.0593
ASM2665	6	25	1561	1344	NA	0.019607843	8.61E-07	NA	NA	NA
ASM2666	7	8	7896	6427	0.970145748	0.027777778	0.545	NA	0.947	0.0326
ASM2667	7	17	7090	6254	0.000609976	0.010136452	0.321	NA	0.134	0.0266
ASM2668	2	3	526	499	0.867986696	0.009443989	0.805	NA	0.4	0.0785
ASM2669	4	27	9104	9004	0.130452441	0.711111111	0.00359	NA	0.431	0.0325
ASM2670	5	16	2381	534	0.064703791	0.140981241	0.0645	NA	NA	0.132
ASM2671	5	20	6246	1314	0.330200994	0.014489489	1	NA	0.388	0.0402
ASM2672	7	46	16235	25568	0.836122254	0.432804233	0.0994	NA	0.26	0.0239
ASM2673	2	3	84	0	NA	0.768518519	NA	NA	NA	NA
ASM2674	3	15	301	0	NA	1	NA	NA	NA	NA
ASM2675	3	5	296	646	0.857738007	0.039941077	NA	0.685	NA	0.649
ASM2676	5	32	7738	38874	4.44E-16	0	0	1	1.76E-08	0.0245
ASM2677	5	10	892	175	0.14562063	0	0.47	NA	NA	NA
ASM2678	4	5	155	40	0.181685688	0.084928679	0.0262	NA	NA	0.234
ASM2679	2	6	5	14	0.624604885	0	NA	NA	NA	NA
ASM2680	2	38	27945	25114	1	0.333333333	0.132	NA	0.192	0.0477
ASM2681	7	24	12534	13217	NA	0.009570905	0.247	NA	0.184	0.0389
ASM2682	5	12	207	46	0.000159612	0.111111111	NA	NA	NA	NA
ASM2683	4	8	75459	50116	0.362446289	0.02390685	1	NA	NA	0.1
ASM2684	7	26	30574	27037	0.035669818	0.233014888	NA	NA	0.0462	0.0296
ASM2685	6	11	2155	2216	0.462106596	0.039816555	0.403	NA	0.787	0.0735
ASM2686	6	23	4402	4392	0.554338461	0.060447557	0.00813	NA	0.111	0.0424
ASM2687	6	8	1244	1339	7.56E-05	0.03719859	4.08E-08	NA	NA	0.0417
ASM2688	8	11	15637	17343	0.03715291	0.067977916	0.259	NA	0.421	0.0131
ASM2689	7	31	13839	25478	1	0.004821533	0.000809	NA	0.0141	0.0245
ASM2690	6	11	15980	12443	1	0.032620578	0.248	NA	0.117	0.0179
ASM2691	3	5	14	0	NA	0.666666667	NA	NA	NA	NA
ASM2692	2	6	249	64	0.412282037	0.013888889	0.0144	NA	NA	NA
ASM2693	3	6	3371	4109	0.047645255	0.053265947	NA	NA	NA	0.132
ASM2694	9	8	205	0	NA	0.48757764	NA	NA	NA	0.182
ASM2695	2	4	76	0	NA	0.722222222	NA	NA	NA	NA
ASM2696	8	26	39597	28184	0	0.235566821	2.53E-08	NA	1.50E-05	0.0268
ASM2697	2	3	2640	1488	0.108331562	0.11984127	NA	NA	NA	NA
ASM2698	5	20	1769	1590	0.047043423	0.666666667	1	NA	NA	NA
ASM2699	8	43	16583	16033	0.081132128	0.039658302	0.1	NA	0.167	0.0202
ASM2700	7	30	8	229	5.94E-05	0.777777778	NA	NA	NA	NA
ASM2701	5	9	548	2080	0.06350537	0.833333333	1	NA	NA	NA
ASM2702	4	17	278	1145	0.096446854	0.248148148	NA	NA	NA	1
ASM2703	2	3	157	358	0.820237594	0.062706782	0.151	NA	NA	NA
ASM2704	2	4	3048	2774	0.508505645	0	NA	NA	NA	0.0397
ASM2705	2	4	2279	2005	0.634956938	0	NA	NA	0.576	0.0286
ASM2706	3	5	3515	6971	1	0.029000561	NA	NA	0.00608	0.0225
ASM2707	2	13	11058	23288	0.886575236	0.010792772	NA	NA	NA	NA
ASM2708	9	13	15261	16586	0.000462197	0.016265422	0.136	NA	0.0307	0.0169
ASM2709	2	3	82	50	0.813003588	0.133333333	NA	NA	NA	NA
ASM2710	6	8	12995	7817	0.698951175	0.017146327	NA	NA	0.524	0.0596
ASM2711	2	4	8635	5233	0.918282677	0.003283807	NA	NA	NA	NA
ASM2712	2	4	308	75	0.072812083	0.204843305	NA	NA	NA	NA
ASM2713	3	4	49	64	1	0.111111111	NA	NA	NA	NA
ASM2714	3	6	49	41	0.046480345	0.25	NA	NA	NA	NA
ASM2715	3	6	33	35	0.907424212	0	NA	NA	NA	NA
ASM2716	6	29	8423	5631	2.50E-06	0.056244782	0.00616	4.24E-08	0.00865	0.0382
ASM2717	4	7	987	2457	NA	0.020387442	NA	NA	NA	NA
ASM2718	5	36	8920	14196	0.000264716	0.521284271	3.40E-06	NA	0.236	0.0365
ASM2719	2	3	3470	30584	0.296074282	0.001832208	NA	NA	NA	0.0792
ASM2720	2	5	6882	61927	0.245560621	0.001832208	NA	NA	NA	NA
ASM2721	2	3	2381	2560	1	0.000459186	0.495	NA	NA	0.0538
ASM2722	4	5	615	936	0.062844831	0.146915584	0.119	NA	0.385	0.054
ASM2723	4	8	1762	2664	0.487919017	0	0.693	NA	NA	NA
ASM2724	4	10	48	326	0.590077383	0.159615385	0.339	NA	NA	NA
ASM2725	2	3	582	423	0.309174022	0.004864825	0.496	NA	NA	NA
ASM2726	6	10	12939	18794	0.788737098	0	0.0371	NA	NA	0.0951
ASM2727	5	19	44562	46623	NA	0	0.596	NA	0.416	0.0424
ASM2728	2	4	223	332	0.184769987	0	NA	NA	NA	NA
ASM2729	2	4	261	596	0.466353125	0.008465608	NA	NA	NA	0.138
ASM2730	8	20	15122	11791	0.999102996	0.098510713	0.00138	NA	0.0259	0.0242
ASM2731	6	10	6042	5897	0.755413327	0.077000554	1	NA	0.985	0.0219
ASM2732	6	18	25871	25610	NA	0.047086266	NA	NA	NA	NA
ASM2733	3	5	8880	22556	0.002283936	0.079628531	1.63E-06	NA	5.52E-05	0.0151
ASM2734	2	4	0	117	NA	1	NA	NA	NA	NA
ASM2735	3	4	433	211	0.855153395	0.183838384	1	NA	NA	NA
ASM2736	8	15	1793	132	NA	0.166666667	NA	NA	NA	0.198
ASM2737	3	13	15313	7529	0.256241848	0.017298627	0.564	NA	0.656	0.0559
ASM2738	2	3	473	440	0.87496693	0.012930803	0.79	NA	0.077	0.0472
ASM2739	2	4	2511	2271	0.512543524	0.041306919	0.251	NA	NA	0.0908
ASM2740	2	3	405	431	0.63117825	0.007945511	1	NA	NA	NA
ASM2741	7	7	2911	2485	NA	0.036735114	0.111	NA	0.34	0.0495
ASM2742	4	6	1994	1785	0.428542696	0.024943465	0.0362	NA	0.323	0.0749
ASM2743	6	24	8446	9079	NA	0	NA	NA	NA	NA
ASM2744	7	13	3810	4711	0.685538612	0	NA	NA	NA	NA
ASM2745	7	8	1718	3746	0.781199095	0.030813431	0.0497	NA	0.0795	0.0294
ASM2746	10	7	798	420	NA	0.059532836	0.0773	NA	0.0352	0.0502
ASM2747	2	3	446	563	0.51214248	0.062276262	0.896	NA	0.767	0.25
ASM2748	2	3	778	1027	0.998239533	0.003062351	0.167	NA	NA	NA
ASM2749	2	3	478	629	0.424143337	0.050845859	0.585	NA	0.711	0.0504
ASM2750	3	4	898	229	0.032056414	0.409985287	0.122	NA	NA	0.693
ASM2751	2	4	750	312	0.730900753	0	NA	NA	NA	NA
ASM2752	4	40	18197	19814	1	0.333333333	NA	NA	0.0139	0.0439
ASM2753	4	6	371	77	0.26721384	0.238095238	1	NA	NA	NA
ASM2754	4	7	12172	6670	0.99994796	0.021998472	0.129	NA	0.304	0.0598
ASM2755	4	42	37139	36497	0.001996624	0.034413422	0	0.675	2.57E-08	0.0161
ASM2756	3	6	5979	3318	0.121998867	0.067058187	NA	NA	NA	NA
ASM2757	3	4	817	491	0.128027864	0.067058187	0.0013	NA	NA	0.0879
ASM2758	4	26	28402	10873	0.94130123	0.333333333	NA	NA	NA	0.107
ASM2759	2	4	368	88	0.018748359	0.121543489	NA	NA	NA	NA
