ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#57	MJ_intronretentionleft-Junction_73059_4.64E-1,MJ_5_Junction_73072_Junction_73073_1.14E-1,MJ_3_Junction_73102_Junction_73105_1.27E-1,MJ_3_Junction_73053_Junction_73055_9.05E-2,MJ_5_Junction_73059_Junction_73060_4.04E-1,MJ_intronretentionshort-Junction_73054_9.36E-2,MJ_intronretentionleft-Junction_73102_9.67E-2,MJ_intronretentionleft-Junction_73105_6.98E-2,MJ_3_Junction_73060_Junction_73064_1.25E-1,MJ_3_Junction_73102_Junction_73105_1.18E-1,MJ_intronretentionleft-Junction_73048_7.11E-2,MJ_5_Junction_73072_Junction_73073_1.23E-1,MJ_intronretentionright-Junction_73102_7.26E-2,MJ_3_Junction_73060_Junction_73064_1.30E-1,MJ_intronretentionright-Junction_73059_1.99E-1,MJ_3_Junction_73053_Junction_73055_9.33E-2,MJ_5_Junction_73059_Junction_73060_4.57E-1,MJ_intronretentionright-Junction_73105_8.52E-2,MJ_5_Junction_73052_Junction_73053_1.22E-1,MJ_intronretentionright-Junction_73059_1.66E-1,MJ_5_Junction_73052_Junction_73053_1.13E-1,MJ_intronretentionright-Junction_73048_1.74E-1	22	0	0	0	0	0	0	0	0.0698
ASM#58	MJ_5_Junction_73580_Junction_73581_1.52E-2,MJ_5_Junction_73580_Junction_73581_1.53E-2,MJ_3_Junction_73581_Junction_73602_1.14E-2,MJ_3_Junction_73581_Junction_73602_1.15E-2	4	0	0	0	0	0	0	0	0.0114
ASM#59	NA	0	0	0	0	0	0	0	0	1
ASM#60	MJ_5_Junction_74966_Junction_74967_Junction_74968_Junction_74969_2.90E-2,MJ_5_Junction_74966_Junction_74967_Junction_74968_Junction_74969_1.74E-1,MJ_5_Junction_74966_Junction_74967_Junction_74968_Junction_74969_1.93E-2,MJ_3_Junction_74723_Junction_74725_3.37E-1,MJ_5_Junction_74931_Junction_74932_3.33E-2,MJ_5_Junction_74722_Junction_74723_1.10E-1,MJ_5_Junction_74966_Junction_74967_Junction_74968_Junction_74969_1.36E-1,MJ_5_Junction_74931_Junction_74932_4.50E-2,MJ_5_Junction_74722_Junction_74723_7.05E-2,MJ_3_Junction_74723_Junction_74725_4.45E-1	10	0	0	0	0	0	0	0	0.0193
ASM#61	MJ_3_Junction_75331_Junction_75425_6.35E-2,MJ_3_Junction_75331_Junction_75425_5.87E-2	2	0	0	0	0	0	0	0	0.0587
ASM#62	NA	0	0	0	0	0	0	0	0	1
ASM#63	MJ_intronretentionright-Junction_75812_1.42E-1,MJ_3_Junction_75811_Junction_75814_4.91E-2,MJ_intronretentionleft-Junction_75812_1.60E-1,MJ_intronretentionleft-Junction_75812_1.89E-1,MJ_3_Junction_75811_Junction_75814_7.52E-2	5	0	0	0	0	0	0	0	0.0491
ASM#64	MJ_intronretentionright-Junction_75836_5.24E-2,MJ_5_Junction_75986_Junction_75987_Junction_75988_Junction_75989_Junction_75990_5.18E-2,MJ_intronretentionleft-Junction_75836_3.01E-2,MJ_5_Junction_75986_Junction_75987_Junction_75988_Junction_75989_Junction_75990_5.71E-1,MJ_5_Junction_76033_Junction_76034_Junction_76035_8.89E-2,MJ_5_Junction_75986_Junction_75987_Junction_75988_Junction_75989_Junction_75990_4.27E-1,MJ_5_Junction_76033_Junction_76034_Junction_76035_1.47E-1,MJ_5_Junction_75986_Junction_75987_Junction_75988_Junction_75989_Junction_75990_7.74E-2,MJ_5_Junction_76033_Junction_76034_Junction_76035_1.57E-1,MJ_5_Junction_75986_Junction_75987_Junction_75988_Junction_75989_Junction_75990_4.83E-2	10	0	0	0	0	0	0	0	0.0301
ASM#65	NA	0	0	0	0	0	0	0	0	1
ASM#66	MJ_3_Junction_76805_Junction_76806_7.79E-2,MJ_5_Junction_76817_Junction_76818_2.61E-1,MJ_3_Junction_76805_Junction_76806_6.32E-2,MJ_5_Junction_76817_Junction_76818_2.69E-1	4	0	0	0	0	0	0	0	0.0632
